sales_price;area;bedrooms;bathrooms;garage;tax;zip_code;latitude;longitude;subway;botafogo_beach;rio_sul;leme_beach;copacabana_beach;santa_marta
890000.000000;107.000000;3;3;0;600.000000;22270070;-22.950272;-43.192024;462.877062;485.951438;1696.334235;2662.609750;2637.610174;247.840404
1450000.000000;93.000000;2;2;1;0.000000;22280004;-22.953799;-43.183343;541.727662;1104.409951;727.410344;1721.544894;2166.128312;1205.464486
950000.000000;115.000000;3;2;1;530.000000;22290040;-22.953479;-43.178104;1071.202275;1641.815225;412.791812;1399.096416;2314.724901;1685.752976
1575100.000000;120.000000;3;3;1;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
1200000.000000;81.000000;3;3;1;752.000000;22260000;-22.949266;-43.184175;605.812031;1156.296422;1125.720188;2144.803653;2662.916557;979.791345
1050100.000000;93.000000;2;4;1;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
840000.000000;94.000000;3;2;2;1500.000000;22290905;-22.953463;-43.175927;1293.774532;1864.604923;424.931274;1295.402956;2397.329705;1898.085688
1050000.000000;66.000000;2;2;1;1050.000000;22260000;-22.949266;-43.184175;605.812031;1156.296422;1125.720188;2144.803653;2662.916557;979.791345
1300000.000000;82.000000;2;2;1;1300.000000;22260004;-22.949757;-43.190909;428.028192;592.791346;1623.037980;2604.961625;2666.374872;311.886362
550000.000000;75.000000;2;1;0;660.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
600000.000000;60.000000;2;2;0;600.000000;22290160;-22.955508;-43.175466;1369.889028;1915.656081;251.129566;1069.436352;2212.426935;2017.543429
850000.000000;80.000000;2;1;1;1100.000000;22280004;-22.953799;-43.183343;541.727662;1104.409951;727.410344;1721.544894;2166.128312;1205.464486
835000.000000;75.000000;2;2;1;800.000000;22270000;-22.950729;-43.181721;740.906975;1326.671323;845.629283;1861.403588;2525.304065;1249.742048
1000000.000000;60.000000;2;2;1;1286.000000;22290010;-22.953310;-43.182359;635.222189;1208.248067;674.983983;1686.133167;2231.956767;1272.198230
1350000.000000;81.000000;2;1;1;983.000000;22290030;-22.952276;-43.182479;625.862460;1210.869181;760.810963;1778.168767;2344.313587;1218.587096
1170000.000000;82.000000;2;2;1;1000.000000;22281034;-22.952717;-43.193632;520.964467;171.477452;1750.785487;2658.667724;2428.189773;448.579068
1530000.000000;115.000000;3;3;2;1600.000000;22290030;-22.952276;-43.182479;625.862460;1210.869181;760.810963;1778.168767;2344.313587;1218.587096
3200000.000000;220.000000;3;3;2;2000.000000;22251040;-22.943846;-43.184099;1108.546748;1541.535238;1633.742986;2632.972799;3265.358286;1122.672907
550000.000000;58.000000;2;1;0;800.000000;22230090;-22.939907;-43.179408;1724.740713;2189.241927;1924.790665;2832.356954;3750.924898;1761.008562
920000.000000;69.000000;2;1;1;1000.000000;22280002;-22.956314;-43.185840;467.107631;880.084093;888.063810;1766.873560;1877.012017;1171.055976
970000.000000;76.000000;2;2;1;974.000000;22260020;-22.947793;-43.187882;575.764975;956.181201;1505.007983;2520.168110;2835.499845;606.191909
700000.000000;64.000000;2;2;1;500.000000;22260020;-22.947793;-43.187882;575.764975;956.181201;1505.007983;2520.168110;2835.499845;606.191909
885000.000000;93.000000;2;2;1;752.000000;22280110;-22.956990;-43.182283;784.238052;1251.289290;519.797588;1417.276166;1828.826445;1491.673348
2940000.000000;25331.000000;4;2;2;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
750000.000000;84.000000;3;1;1;649.000000;22290031;-22.953559;-43.181547;720.342779;1289.321955;593.512471;1608.570046;2217.719271;1359.461013
900000.000000;103.000000;2;1;0;850.000000;22250145;-22.940919;-43.177289;1764.822627;2269.069465;1799.053050;2663.450026;3682.584804;1891.365798
1100000.000000;115.000000;2;3;1;1600.000000;22260007;-22.950252;-43.191211;404.088480;529.856379;1623.377286;2596.474182;2619.538551;310.687079
700000.000000;73.000000;2;1;1;800.000000;22281035;-22.958503;-43.191514;689.605436;548.658424;1473.058479;2210.116528;1749.657641;1115.061104
1088100.000000;74.000000;2;2;1;0.000000;22260040;-22.946105;-43.188307;759.791035;1078.428268;1668.980422;2687.299908;3026.459514;624.347013
1218300.000000;72.000000;2;2;1;0.000000;22290070;-22.955933;-43.177895;1140.780587;1672.601765;147.358696;1163.879957;2066.021221;1810.090189
1400506.000000;88.000000;2;2;1;0.000000;22270010;-22.953634;-43.190684;231.978403;357.278460;1432.593657;2345.406556;2241.325904;632.230720
2100000.000000;130.000000;3;1;2;1632.000000;22271110;-22.953612;-43.189630;133.851455;464.260947;1329.665330;2253.643326;2219.991872;689.842217
3781000.000000;354.000000;3;1;3;0.000000;22280080;-22.956673;-43.184553;583.267096;1017.658919;753.565785;1632.829422;1838.441297;1292.528988
1380000.000000;94.000000;2;1;1;890.000000;22280004;-22.953799;-43.183343;541.727662;1104.409951;727.410344;1721.544894;2166.128312;1205.464486
2200000.000000;190.000000;3;3;0;2180.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
750000.000000;70.000000;2;1;0;600.000000;22270003;-22.954030;-43.191287;305.596986;290.693706;1481.341066;2378.031920;2214.633356;644.671247
380000.000000;18.000000;0;1;0;400.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
1100000.000000;80.000000;2;1;1;1040.000000;22290040;-22.953479;-43.178104;1071.202275;1641.815225;412.791812;1399.096416;2314.724901;1685.752976
650000.000000;65.000000;2;1;0;650.000000;22290160;-22.955508;-43.175466;1369.889028;1915.656081;251.129566;1069.436352;2212.426935;2017.543429
